


From                   To                     Miles

Anaconda               Anaconda                      0
Anaconda               Belgrade                    100
Anaconda               Big Timber                  170
Anaconda               Boulder                      64
Anaconda               Bozeman                     109
Anaconda               Butte                        27
Anaconda               Deer Lodge                   27
Anaconda               Dillon                       78
Anaconda               Hamilton                    126
Anaconda               Helena                       83
Anaconda               Livingston                  135
Anaconda               Missoula                    105
Anaconda               Philipsburg                  31
Anaconda               Superior                    162
Anaconda               Three Forks                  80
Anaconda               Townsend                    106
Anaconda               Virginia City                99
Anaconda               White Sulphur Springs       148
-----------------------
Baker                  Baker                         0
Baker                  Broadus                     157
Baker                  Circle                      120
Baker                  Culbertson                  162
Baker                  Ekalaka                      35
Baker                  Forsyth                     125
Baker                  Glendive                     71
Baker                  Hysham                      154
Baker                  Jordan                      165
Baker                  Miles City                   81
Baker                  Plentywood                  209
Baker                  Poplar                      185
Baker                  Sidney                      125
Baker                  Terry                       110
Baker                  Wibaux                       45
Baker                  Wolf Point                  173
-----------------------
Belgrade               Belgrade                      0
Belgrade               Big Timber                   70
Belgrade               Billings                    149
Belgrade               Boulder                      74
Belgrade               Bozeman                       9
Belgrade               Butte                        73
Belgrade               Choteau                     186
Belgrade               Columbus                    110
Belgrade               Deer Lodge                  114
Belgrade               Dillon                      103
Belgrade               Gardiner                     88
Belgrade               Great Falls                 168
Belgrade               Harlowton                   114
Belgrade               Helena                       86
Belgrade               Laurel                      135
Belgrade               Livingston                   35
Belgrade               Philipsburg                 131
Belgrade               Three Forks                  21
Belgrade               Townsend                     54
Belgrade               Virginia City                67
Belgrade               White Sulphur Springs        89
-----------------------
Big Timber             Big Timber                    0
Big Timber             Billings                     81
Big Timber             Boulder                     144
Big Timber             Bozeman                      61
Big Timber             Butte                       143
Big Timber             Columbus                     40
Big Timber             Cooke City                  144
Big Timber             Fort Benton                 177
Big Timber             Gardiner                     88
Big Timber             Grassrange Junction         132
Big Timber             Hardin                      127
Big Timber             Harlowton                    44
Big Timber             Helena                      150
Big Timber             Hysham                      158
Big Timber             Laurel                       65
Big Timber             Lewistown                   101
Big Timber             Livingston                   35
Big Timber             Red Lodge                    88
Big Timber             Roundup                     113
Big Timber             Ryegate                      74
Big Timber             Stanford                    112
Big Timber             Three Forks                  91
Big Timber             Townsend                    118
Big Timber             Virginia City               128
Big Timber             White Sulphur Springs        94
Big Timber             Winnett                     155
-----------------------
Billings               Billings                      0
Billings               Broadus                     168
Billings               Columbus                     41
Billings               Cooke City                  126
Billings               Forsyth                     100
Billings               Gardiner                    169
Billings               Grassrange Junction          97
Billings               Hardin                       46
Billings               Harlowton                    93
Billings               Hysham                       77
Billings               Laurel                       16
Billings               Lewistown                   128
Billings               Livingston                  116
Billings               Miles City                  145
Billings               Red Lodge                    60
Billings               Roundup                      53
Billings               Ryegate                      63
Billings               Stanford                    159
Billings               White Sulphur Springs       150
Billings               Winnett                      98
-----------------------
Boulder                Boulder                       0
Boulder                Bozeman                      83
Boulder                Butte                        37
Boulder                Choteau                     127
Boulder                Deer Lodge                   78
Boulder                Dillon                       93
Boulder                Fort Benton                 160
Boulder                Gardiner                    162
Boulder                Great Falls                 116
Boulder                Harlowton                   158
Boulder                Helena                       27
Boulder                Livingston                  109
Boulder                Missoula                    142
Boulder                Philipsburg                  95
Boulder                Three Forks                  54
Boulder                Townsend                     59
Boulder                Virginia City                93
Boulder                White Sulphur Springs       101
-----------------------
Bozeman                Bozeman                       0
Bozeman                Butte                        82
Bozeman                Columbus                    101
Bozeman                Cooke City                  135
Bozeman                Deer Lodge                  123
Bozeman                Dillon                      112
Bozeman                Gardiner                     79
Bozeman                Harlowton                   105
Bozeman                Helena                       95
Bozeman                Laurel                      126
Bozeman                Lewistown                   162
Bozeman                Livingston                   26
Bozeman                Philipsburg                 140
Bozeman                Red Lodge                   149
Bozeman                Ryegate                     135
Bozeman                Three Forks                  30
Bozeman                Townsend                     63
Bozeman                Virginia City                67
Bozeman                White Sulphur Springs        80
-----------------------
Broadus                Broadus                       0
Broadus                Forsyth                     122
Broadus                Hardin                      122
Broadus                Hysham                      139
Broadus                Miles City                   79
Broadus                Terry                       115
-----------------------
Browning               Browning                      0
Browning               Chester                     100
Browning               Choteau                      72
Browning               Conrad                       66
Browning               Cut Bank                     34
Browning               East Glacier Park            13
Browning               Eureka                      145
Browning               Great Falls                 127
Browning               Havre                       160
Browning               Helena                      172
Browning               Kalispell                    99
Browning               Polson                      138
Browning               Shelby                       58
Browning               Sweetgrass                   92
Browning               West Glacier                 68
Browning               Whitefish                    93
-----------------------
Butte                  Butte                         0
Butte                  Choteau                     164
Butte                  Deer Lodge                   41
Butte                  Dillon                       65
Butte                  Gardiner                    161
Butte                  Great Falls                 153
Butte                  Hamilton                    147
Butte                  Helena                       64
Butte                  Livingston                  108
Butte                  Missoula                    120
Butte                  Philipsburg                  58
Butte                  Three Forks                  53
Butte                  Townsend                     79
Butte                  Virginia City                72
Butte                  White Sulphur Springs       121
-----------------------
Chester                Chester                       0
Chester                Chinook                      81
Chester                Choteau                     117
Chester                Conrad                       67
Chester                Cut Bank                     66
Chester                East Glacier Park           113
Chester                Fort Benton                 53
Chester                Great Falls                 130
Chester                Havre                        60
Chester                Lewistown                   155
Chester                Malta                       148
Chester                Miles City                  394
Chester                Shelby                       42
Chester                Sweetgrass                   78
Chester                West Glacier                168
-----------------------
Chinook                Chinook                       0
Chinook                Conrad                      148
Chinook                Cut Bank                    147
Chinook                Fort Benton                  96
Chinook                Glasgow                     137
Chinook                Grassrange Junction         132
Chinook                Great Falls                 136
Chinook                Harlowton                   210
Chinook                Havre                        21
Chinook                Lewistown                   153
Chinook                Malta                        67
Chinook                Shelby                      123
Chinook                Stanford                    161
Chinook                Sweetgrass                  159
Chinook                Winnett                     155
-----------------------
Choteau                Choteau                       0
Choteau                Conrad                       50
Choteau                Cut Bank                     97
Choteau                Deer Lodge                  154
Choteau                East Glacier Park            85
Choteau                Fort Benton                  99
Choteau                Great Falls                  55
Choteau                Havre                       170
Choteau                Helena                      100
Choteau                Lewistown                   160
Choteau                Shelby                       75
Choteau                Stanford                    115
Choteau                Sweetgrass                  109
Choteau                Three Forks                 166
Choteau                Townsend                    132
Choteau                West Glacier                140
Choteau                Whitefish                   165
Choteau                White Sulphur Springs       152
-----------------------
Circle                 Circle                        0
Circle                 Culbertson                   98
Circle                 Ekalaka                     155
Circle                 Forsyth                     163
Circle                 Glasgow                     102
Circle                 Glendive                     49
Circle                 Grassrange Junction         166
Circle                 Jordan                       67
Circle                 Miles City                  119
Circle                 Plentywood                  140
Circle                 Poplar                       65
Circle                 Scobey                       99
